Terror_Group,Region,Successful_Attacks,Total_Incidents
Khorasan Chapter of the Islamic State_South Asia,South Asia,293,343
Khorasan jihadi group_South Asia,South Asia,2,2
Khumbuwan Mukti Morcha_South Asia,South Asia,2,2
Kilafah Islamic Movement_Southeast Asia,Southeast Asia,3,3
Kirat Janabadi Workers Party_South Asia,South Asia,5,5
Kizilyurtovskiy Group_Eastern Europe,Eastern Europe,0,1
Knights of Janzour_Middle East & North Africa,Middle East & North Africa,1,1
Knights Templar (Caballeros Templarios)_North America,North America,1,1
Kokang_Southeast Asia,Southeast Asia,1,1
Kosovo Liberation Army (KLA)_Eastern Europe,Eastern Europe,5,5
Kouweikhat Group_Middle East & North Africa,Middle East & North Africa,1,1
Ku Klux Klan_North America,North America,4,4
Kuki Independent Organization (KIO/KIA)_South Asia,South Asia,0,1
Kuki Liberation Army (KLA)_South Asia,South Asia,3,4
Kuki National Army (KNA)_South Asia,South Asia,3,3
Kuki National Front (KNF)_South Asia,South Asia,9,14
Kuki National Liberation Front (KNLF)_South Asia,South Asia,2,3
Kuki Revolutionary Army (KRA)_South Asia,South Asia,7,8
Kuki Tribal Militants_South Asia,South Asia,6,6
Kuki Unification Frontal Organization (KUFO)_South Asia,South Asia,1,1
Kurdish Democratic Party-Iraq (KDP)_Middle East & North Africa,Middle East & North Africa,1,1
Kurdish Militants_Middle East & North Africa,Middle East & North Africa,3,3
Kurdish Separatists_Middle East & North Africa,Middle East & North Africa,1,1
Kurdistan Free Life Party_Middle East & North Africa,Middle East & North Africa,12,14
Kurdistan Freedom Hawks (TAK)_Middle East & North Africa,Middle East & North Africa,29,30
Kurdistan Workers' Party (PKK)_Middle East & North Africa,Middle East & North Africa,1113,1223
Kurdistan Workers' Party (PKK)_Western Europe,Western Europe,15,15
Lahij Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,2,3
Lama Group_South Asia,South Asia,1,1
Lashkar-e-Balochistan_South Asia,South Asia,31,32
Lashkar-e-Islam (India)_South Asia,South Asia,13,13
Lashkar-e-Islam (Pakistan)_South Asia,South Asia,116,124
Lashkar-e-Jhangvi_South Asia,South Asia,128,136
Lashkar-e-Omar_South Asia,South Asia,2,2
Lashkar-e-Taiba (LeT)_South Asia,South Asia,169,182
Laskar Jihad_Southeast Asia,Southeast Asia,7,7
Last Generation_Western Europe,Western Europe,1,1
League of Damascus for Special Tasks_Middle East & North Africa,Middle East & North Africa,1,1
Left-wing extremists_South Asia,South Asia,1,1
Left-wing extremists_Southeast Asia,Southeast Asia,1,2
Left-wing extremists_South America,South America,6,6
Left-wing extremists_Western Europe,Western Europe,6,6
Left-Wing Guerrillas_South America,South America,1,1
Lehava_Middle East & North Africa,Middle East & North Africa,1,1
Lekagak Tenggamati_Southeast Asia,Southeast Asia,2,2
Lendu extremists_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Les Casseurs_Western Europe,Western Europe,1,1
Liberal Democratic Council for Missing Land_South Asia,South Asia,1,1
Liberals of Galilee_Middle East & North Africa,Middle East & North Africa,1,1
Liberation and Justice Movement (LJM)_Sub-Saharan Africa,Sub-Saharan Africa,11,11
"Liberation Army for Presevo, Medvedja and Bujanovac (UCPMB)_Eastern Europe",Eastern Europe,2,3
Liberation Front for English-speaking Cameroon_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Liberation of Achik Elite Force (LAEF)_South Asia,South Asia,1,1
Liberation Tigers of Tamil Eelam (LTTE)_South Asia,South Asia,553,580
Liberation Tigers of Tamil Eelam (LTTE)_Western Europe,Western Europe,0,1
Liberation War Veterans Association_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Liberians United for Reconciliation and Democracy (LURD)_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Libya Revolutionaries Operations Room (LROR)_Middle East & North Africa,Middle East & North Africa,8,8
Libya Shield Force_Middle East & North Africa,Middle East & North Africa,8,8
Libyan Militia_Middle East & North Africa,Middle East & North Africa,2,2
Liwa Ahrar al-Sunna_Middle East & North Africa,Middle East & North Africa,15,15
Liwa al-Haqq_Middle East & North Africa,Middle East & North Africa,1,1
Liwa al-Islam_Middle East & North Africa,Middle East & North Africa,1,1
Liwa al-Sham_Middle East & North Africa,Middle East & North Africa,1,1
Liwa al-Tawhid_Middle East & North Africa,Middle East & North Africa,1,1
"Lone Wolves of Radical, Autonomous, Militant National Socialism_Western Europe",Western Europe,1,1
Lord's Resistance Army (LRA)_Sub-Saharan Africa,Sub-Saharan Africa,276,283
Los Rastrojos (Colombia)_South America,South America,1,1
Loyalist Action Force_Western Europe,Western Europe,1,1
Loyalist Volunteer Forces (LVF)_Western Europe,Western Europe,2,2
Loyalists_Western Europe,Western Europe,21,25
Luhansk People's Republic_Eastern Europe,Eastern Europe,192,209
LW_Western Europe,Western Europe,1,1
M23_Sub-Saharan Africa,Sub-Saharan Africa,9,9
Mabanese Defence Forces_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Macedonian nationalists_Eastern Europe,Eastern Europe,1,1
Macina Liberation Front (FLM)_Sub-Saharan Africa,Sub-Saharan Africa,14,14
Madhesh Mukti Sangram (MMS)_South Asia,South Asia,1,1
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal_South Asia,South Asia,3,5
Madhesi Mukti Tigers (MMT)_South Asia,South Asia,5,9
Madhesi People's Rights Forum (MPRF)_South Asia,South Asia,3,3
Madhesi Virus Killers_South Asia,South Asia,1,1
Magahat Militia_Southeast Asia,Southeast Asia,2,2
Mahan Madhesh Janakantri Party (MMJP)- Nepal_South Asia,South Asia,4,4
Mahaz Fedai Tahrik Islami Afghanistan_South Asia,South Asia,5,5
Mahaz-e-Inquilab_South Asia,South Asia,3,3
Mahdi Army_Middle East & North Africa,Middle East & North Africa,18,19
Mahsud Tribe_South Asia,South Asia,1,1
Mai Mai Bakata Katanga Militia_Sub-Saharan Africa,Sub-Saharan Africa,11,11
Mai Mai Charles Militia_Sub-Saharan Africa,Sub-Saharan Africa,1,3
Mai Mai Karakara Militia_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Mai Mai Malaika Militia_Sub-Saharan Africa,Sub-Saharan Africa,0,2
Mai Mai Manu Militia_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Mai Mai Mazembe Militia_Sub-Saharan Africa,Sub-Saharan Africa,9,11
Mai Mai Simba Militia_Sub-Saharan Africa,Sub-Saharan Africa,13,13
Mai Mai Yakutumba Militia_Sub-Saharan Africa,Sub-Saharan Africa,0,3
Majlis-e-Askari_South Asia,South Asia,1,1
Makhachkala Gang_Eastern Europe,Eastern Europe,3,4
Manipur Naga People's Army (MNPA)_South Asia,South Asia,9,10
Manipur Nationalist Revolutionary Party (MNRP)_South Asia,South Asia,1,1
Maoist Communist Center (MCC)_South Asia,South Asia,23,24
Maoist Communist Party (MKP)_Middle East & North Africa,Middle East & North Africa,0,1
Maoist Communist Party of Manipur_South Asia,South Asia,1,3
Maoists_South Asia,South Asia,1290,1611
Maoists_Southeast Asia,Southeast Asia,1,1
Mapuche activists_South America,South America,19,19
Mapuche Ancestral Resistance (RAM)_South America,South America,4,4
Marhan Clan_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Mariano Moreno National Liberation Commando_South America,South America,2,3
Mariscal Lopez Army (EML)_South America,South America,1,1
Martyr al-Nimr Battalion_Middle East & North Africa,Middle East & North Africa,0,1
Martyr Sami al-Ghul Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Marwan Al-Qawasimi and Amir Abu-Ayshah Group_Middle East & North Africa,Middle East & North Africa,1,1
Ma'sadat al-Mujahideen_Middle East & North Africa,Middle East & North Africa,2,2
Mateo Morral Insurrectionist Commandos_Western Europe,Western Europe,1,2
Maute Group_Southeast Asia,Southeast Asia,26,31
Mawlawi and Mansour Group_Middle East & North Africa,Middle East & North Africa,1,1
Mayi Mayi_Sub-Saharan Africa,Sub-Saharan Africa,59,68
Medfaiyah Wal-Sewarigh Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Merille Militia_Sub-Saharan Africa,Sub-Saharan Africa,4,4
Militant Forces Against Huntingdon_Western Europe,Western Europe,1,1
Militant Minority (Greece)_Western Europe,Western Europe,7,7
Militant Organization of Russian Nationalists_Eastern Europe,Eastern Europe,1,1
Militant People's Revolutionary Forces_Western Europe,Western Europe,1,1
Militants_Middle East & North Africa,Middle East & North Africa,8,8
Militants_South Asia,South Asia,60,64
Militants_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Militants_Southeast Asia,Southeast Asia,1,1
Military Council of the Tribal Revolutionaries (MCTR)_Middle East & North Africa,Middle East & North Africa,20,20
Militia Members_Sub-Saharan Africa,Sub-Saharan Africa,9,9
Militia Members_Southeast Asia,Southeast Asia,1,1
Minorities of Metropolitan Attacks_Western Europe,Western Europe,2,2
Minutemen American Defense_North America,North America,1,1
Misanthropic Division_Eastern Europe,Eastern Europe,0,1
Miscreants_South Asia,South Asia,3,3
Misrata Brigades_Middle East & North Africa,Middle East & North Africa,8,11
Misseriya Arab Tribesmen_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Misurata Rebels_Middle East & North Africa,Middle East & North Africa,1,1
Mitiga Militia_Middle East & North Africa,Middle East & North Africa,1,1
Mlada Bosna_Eastern Europe,Eastern Europe,1,1
Mombasa Republican Council (MRC)_Sub-Saharan Africa,Sub-Saharan Africa,6,9
Mongolian Mukti Morcha_South Asia,South Asia,1,1
Moran Tiger Force (MTF)_South Asia,South Asia,1,2
Moro Ghuraba_Southeast Asia,Southeast Asia,2,2
Moro Islamic Liberation Front (MILF)_Southeast Asia,Southeast Asia,288,315
Moro National Liberation Front (MNLF)_Southeast Asia,Southeast Asia,19,20
Moroccan extremists_Western Europe,Western Europe,1,1
Mouhajiroune Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Movement for Democracy and Justice in Chad (MDJT)_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Movement for Democratic Change (MDC)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Movement for Oneness and Jihad in West Africa (MUJAO)_Middle East & North Africa,Middle East & North Africa,3,3
Movement for Oneness and Jihad in West Africa (MUJAO)_Sub-Saharan Africa,Sub-Saharan Africa,48,50
Movement for the Actualization of the Sovereign State of Biafra (MASSOB)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Movement for the Emancipation of the Niger Delta (MEND)_Sub-Saharan Africa,Sub-Saharan Africa,86,87
Movement for the Restoration of the Independence of Southern Cameroons_Sub-Saharan Africa,Sub-Saharan Africa,1,2
Movement of Democratic Forces of Casamance_Sub-Saharan Africa,Sub-Saharan Africa,35,35
Movement of Niger People for Justice (MNJ)_Sub-Saharan Africa,Sub-Saharan Africa,10,10
Mozambique Liberation Front (FRELIMO)_Sub-Saharan Africa,Sub-Saharan Africa,2,3
Mozambique National Resistance Movement (MNR)_Sub-Saharan Africa,Sub-Saharan Africa,103,112
Mujahedeen Army_Middle East & North Africa,Middle East & North Africa,3,3
Mujahedeen Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Mujahedeen Corps in Iraq_Middle East & North Africa,Middle East & North Africa,1,2
Mujahedeen Group_Middle East & North Africa,Middle East & North Africa,1,1
Mujahedeen Shura Council_Middle East & North Africa,Middle East & North Africa,8,8
Mujahedeen Shura Council in the Environs of Jerusalem_Middle East & North Africa,Middle East & North Africa,4,5
Mujahedin Kompak_Southeast Asia,Southeast Asia,1,1
Mujahedin-e Khalq (MEK)_Middle East & North Africa,Middle East & North Africa,13,13
Mujahideen Ansar_South Asia,South Asia,18,18
Mujahideen Islam Pattani_Southeast Asia,Southeast Asia,4,4
Mujahideen Youth Movement (MYM)_Sub-Saharan Africa,Sub-Saharan Africa,22,23
Mujahidin Ambon_Southeast Asia,Southeast Asia,1,1
Mujahidin Indonesia Timur (MIT)_Southeast Asia,Southeast Asia,20,21
Mukhtar Army_Middle East & North Africa,Middle East & North Africa,4,4
Mullah Dadullah Front_South Asia,South Asia,0,1
Munadil al-Jumalyi Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Mungiki Sect_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Murle Tribe_Sub-Saharan Africa,Sub-Saharan Africa,26,26
Musa Sudi Yalahow Militia_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Muslim Brotherhood_Middle East & North Africa,Middle East & North Africa,30,36
Muslim extremists_Middle East & North Africa,Middle East & North Africa,327,362
Muslim extremists_South Asia,South Asia,49,55
Muslim extremists_Sub-Saharan Africa,Sub-Saharan Africa,76,80
Muslim extremists_Southeast Asia,Southeast Asia,29,35
Muslim extremists_Eastern Europe,Eastern Europe,18,22
Muslim extremists_Western Europe,Western Europe,23,26
Muslim extremists_North America,North America,13,14
Muslim extremists_Australasia & Oceania,Australasia & Oceania,1,1
Muslim Fundamentalists_Middle East & North Africa,Middle East & North Africa,2,2
Muslim Fundamentalists_South Asia,South Asia,2,2
Muslim Militants_Middle East & North Africa,Middle East & North Africa,7,7
Muslim Militants_South Asia,South Asia,13,13
Muslim Militants_Southeast Asia,Southeast Asia,1,1
Muslim Rebels_Middle East & North Africa,Middle East & North Africa,6,6
Muslim Rebels_South Asia,South Asia,3,3
Muslim Rebels_Southeast Asia,Southeast Asia,1,1
Muslim Renewal_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Muslim Separatists_South Asia,South Asia,4,4
Muslim Separatists_Southeast Asia,Southeast Asia,29,29
Muslim Separatists_Eastern Europe,Eastern Europe,1,1
Muslim United Army (MUA)_South Asia,South Asia,1,1
Muslim United Liberation Tigers of Assam (MULTA)_South Asia,South Asia,0,1
Muslims_South Asia,South Asia,1,1
Muslims_Southeast Asia,Southeast Asia,8,8
Mustafa al-Hujairi Group_Middle East & North Africa,Middle East & North Africa,3,3
Mutahida Majlis-e-Amal_South Asia,South Asia,2,2
Mutassim Billah Gaddafi Battalion_Middle East & North Africa,Middle East & North Africa,1,1
Muttahida Qami Movement (MQM)_South Asia,South Asia,10,10
Naga extremists_South Asia,South Asia,2,2
Naga National Council (NNC)_South Asia,South Asia,2,2
Naga People_South Asia,South Asia,1,1
Naga People's Council (NPC)_South Asia,South Asia,1,1
Najd Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,8,9
Nalut Group_Middle East & North Africa,Middle East & North Africa,1,1
National Alliance (Chad)_Sub-Saharan Africa,Sub-Saharan Africa,2,3
National Anti-Corruption Front (FNA)_South America,South America,1,1
National Bolshevik Party (Partiya Natsionalnikh Bolshevikov - PNB)_Eastern Europe,Eastern Europe,0,1
National Committee for the Restoration of Democracy and State (CNRDR)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
National Congress for the Defense of the People (CNDP)_Sub-Saharan Africa,Sub-Saharan Africa,4,5
National Council for Defense of Democracy (NCDD)_Sub-Saharan Africa,Sub-Saharan Africa,12,12
National Council for Revival and Democracy (CNRD)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
National Democratic Alliance (NDA)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
National Democratic Alliance Army (NDAA-ESSA)_Southeast Asia,Southeast Asia,12,12
National Democratic Front of Bodoland (NDFB)_South Asia,South Asia,140,152
National Democratic Front-Bicol (NDF-Bicol)_Southeast Asia,Southeast Asia,3,3
National Freedom Party_Sub-Saharan Africa,Sub-Saharan Africa,1,1
National Front Against Tigers (NFAT)_South Asia,South Asia,3,3
National Front for the Revolution in Burundi (FRONABU-Tabara)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
National League for Democracy_Southeast Asia,Southeast Asia,1,1
National Liberation Alliance of Sa Kaeo_Southeast Asia,Southeast Asia,0,1
National Liberation Army (Ecuador)_South America,South America,1,1
National Liberation Army (Nepal)_South Asia,South Asia,1,1
National Liberation Army (NLA) (Macedonia)_Eastern Europe,Eastern Europe,28,35
National Liberation Army of Colombia (ELN)_South America,South America,391,416
National Liberation Council of Taniland_South Asia,South Asia,1,1
National Liberation Force of Bengalis (Bangali Janamukti Bahini)_South Asia,South Asia,1,4
National Liberation Front (Ecuador)_South America,South America,1,1
National Liberation Front (FNL) (Burundi)_Sub-Saharan Africa,Sub-Saharan Africa,31,32
National Liberation Front of Provence (FLNP)_Western Europe,Western Europe,1,3
National Liberation Front of Tripura (NLFT)_South Asia,South Asia,63,65
National Movement of Revolutionaries (MNR)_Sub-Saharan Africa,Sub-Saharan Africa,6,6
National People's Party (Rashtriya Janata Dal - RJD)_South Asia,South Asia,1,1
National Redemption Front_Sub-Saharan Africa,Sub-Saharan Africa,1,1
National Revolutionary Front of Manipur (NRFM)_South Asia,South Asia,1,1
National Santhali Liberation Army (NSLA)_South Asia,South Asia,1,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)_South Asia,South Asia,84,89
National Socialist Council of Nagaland-Khaplang (NSCN-K)_South Asia,South Asia,45,57
National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK)_South Asia,South Asia,3,3
National Socialist Council of Nagaland-Reformation (NSCN-R)_South Asia,South Asia,2,2
National Socialist Council of Nagaland-Unification (NSCN-U)_South Asia,South Asia,1,1
National Socialist Underground_Western Europe,Western Europe,12,12
National Union for the Total Independence of Angola (UNITA)_Sub-Saharan Africa,Sub-Saharan Africa,87,88
National United Front of Democracy Against Dictatorship (UDD)_Southeast Asia,Southeast Asia,0,1
National Youth Service of Zimbabwe_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Nationalist Integrationist Front (FNI)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Nawasi Brigade_Middle East & North Africa,Middle East & North Africa,0,1
Naxalites_South Asia,South Asia,34,34
Naxalites_Southeast Asia,Southeast Asia,1,1
Nazhdak_Eastern Europe,Eastern Europe,1,1
Nduma Defense of Congo (NDC)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Neo-Fascists_Eastern Europe,Eastern Europe,1,1
Neo-Fascists_South America,South America,1,1
Neo-Fascists_Western Europe,Western Europe,3,3
Neo-Nazi extremists_Eastern Europe,Eastern Europe,3,3
Neo-Nazi extremists_Western Europe,Western Europe,13,16
Neo-Nazi extremists_North America,North America,4,4
Nepal Defense Army_South Asia,South Asia,6,6
Nepalbad Party_South Asia,South Asia,1,1
Nepali Congress Party (NC)_South Asia,South Asia,1,1
New Indigenous People's Army_Southeast Asia,Southeast Asia,1,1
New People's Army (NPA)_South Asia,South Asia,2,2
New People's Army (NPA)_Southeast Asia,Southeast Asia,1525,1792
New Revolutionary Popular Struggle (NELA)_Western Europe,Western Europe,1,1
Niger Delta Avengers (NDA)_Sub-Saharan Africa,Sub-Saharan Africa,50,50
Niger Delta extremists_Sub-Saharan Africa,Sub-Saharan Africa,3,4
Niger Delta Forest Army (NDFA)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Niger Delta Freedom Fighters (NDDF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Niger Delta Greenland Justice Mandate (NDGJM)_Sub-Saharan Africa,Sub-Saharan Africa,11,11
Niger Delta Justice Defense Group (NDJDG)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Niger Delta Liberation Force (NDLF)-Nigeria_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Niger Delta People's Volunteer Force (NDPVF)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Niger Delta Vigilante (NDV)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Nihilistic Patrol and Neighborhood Arsonists_Western Europe,Western Europe,1,1
Nihilists Faction_Western Europe,Western Europe,1,1
Nikhil Bharat Bangali Udbastu Samannay Samiti (NBBUSS)_South Asia,South Asia,1,1
Ninjas_Sub-Saharan Africa,Sub-Saharan Africa,4,4
No Borders Group_Western Europe,Western Europe,1,1
Nobles of Jordan_Middle East & North Africa,Middle East & North Africa,1,1
Nordic Resistance Movement_Western Europe,Western Europe,2,3
November 17 Revolutionary Organization (N17RO)_Western Europe,Western Europe,1,2
Nuer White Army_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Nur-al-Din al-Zinki Movement_Middle East & North Africa,Middle East & North Africa,7,7
NVF_Eastern Europe,Eastern Europe,4,4
Nyatura Militia_Sub-Saharan Africa,Sub-Saharan Africa,19,25
Odessa Underground_Eastern Europe,Eastern Europe,2,2
Odua Peoples' Congress (OPC)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Ogaden National Liberation Front (ONLF)_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Oglaigh na hEireann_Western Europe,Western Europe,24,48
Okba Ibn Nafaa Brigade_Middle East & North Africa,Middle East & North Africa,14,14
Omar Bin Khattab Group_Middle East & North Africa,Middle East & North Africa,1,1
Omar Mukhtar Militia_Middle East & North Africa,Middle East & North Africa,1,1
Ombatse Cult_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Opposition Group_South Asia,South Asia,5,5
Orakzai Freedom Movement_South Asia,South Asia,1,1
Orange Volunteers (OV)_Western Europe,Western Europe,2,2
Orfei Harsha'am_Middle East & North Africa,Middle East & North Africa,1,1
Organization for Revolutionary Self Defense_Western Europe,Western Europe,4,5
Organization of Soldiers of the Levant_Middle East & North Africa,Middle East & North Africa,1,1
Oromo Liberation Front_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Otpor_Eastern Europe,Eastern Europe,1,1
Overall Deniers of Joining the Existing_Western Europe,Western Europe,3,3
Pagan Sect of the Mountain_North America,North America,4,9
Pahadi Cheetah_South Asia,South Asia,1,1
Pakistani People's Party (PPP)_South Asia,South Asia,3,3
Palestinian Extremists_Middle East & North Africa,Middle East & North Africa,277,431
Palestinian Extremists_Western Europe,Western Europe,1,1
Palestinian Hezbollah_Middle East & North Africa,Middle East & North Africa,2,2
Palestinian Islamic Jihad (PIJ)_Middle East & North Africa,Middle East & North Africa,150,165
Palestinians_Middle East & North Africa,Middle East & North Africa,21,23
Paraguayan People's Army (EPP)_South America,South America,64,72
Paramilitaries_South America,South America,5,5
Paramilitaries_Western Europe,Western Europe,1,1
Paramilitary members_Western Europe,Western Europe,1,1
Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh_South Asia,South Asia,4,4
Partido Marxista-Leninista ng Pilipinas (PMLP)_Southeast Asia,Southeast Asia,2,2
Party for the Liberation of the Hutu People (PALIPEHUTU)_Sub-Saharan Africa,Sub-Saharan Africa,36,36
Patria Grande Ejercito del Pueblo_South America,South America,1,1
Patriotic Europeans against the Islamization of the West (PEGIDA)_Western Europe,Western Europe,3,3
Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD)_Sub-Saharan Africa,Sub-Saharan Africa,11,11
Patriotic Resistance Front in Ituri (FRPI)_Sub-Saharan Africa,Sub-Saharan Africa,48,49
Pattali Makkal Katchi (PMK)_South Asia,South Asia,4,4
Pattani United Liberation Organization (PULO)_Southeast Asia,Southeast Asia,17,22
Pattani United Liberation Organization-MKP (PULO-MKP)_Southeast Asia,Southeast Asia,1,1
Peace at Home Council_Middle East & North Africa,Middle East & North Africa,18,20
Pentagon Kidnap Group_Southeast Asia,Southeast Asia,1,1
People Against Gangsterism and Drugs (PAGAD)_Sub-Saharan Africa,Sub-Saharan Africa,5,6
People's Amn Committee_South Asia,South Asia,2,2
People's Committee against Police Atrocities (PCPA)_South Asia,South Asia,22,22
People's Defense Unit (Turkey)_Middle East & North Africa,Middle East & North Africa,1,1
People's Democratic Party (PDP)_Sub-Saharan Africa,Sub-Saharan Africa,5,6
People's Democratic Struggle Movement_Sub-Saharan Africa,Sub-Saharan Africa,1,1
People's Liberation Army (India)_South Asia,South Asia,68,77
People's Liberation Front of India_South Asia,South Asia,64,67
People's Protection Units (YPG)_Middle East & North Africa,Middle East & North Africa,5,5
People's Revolutionary Army (ERP)_South America,South America,9,9
People's Revolutionary Militias (MRP)_South America,South America,4,4
People's Revolutionary Movement (MRP)_South America,South America,2,2
People's Revolutionary Party of Kangleipak (PREPAK)_South Asia,South Asia,26,30
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P)_South Asia,South Asia,6,8
People's Tamil Organization_South Asia,South Asia,2,2
People's United Democratic Movement (PUDEMO)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
People's United Liberation Front (PULF)_South Asia,South Asia,7,7
Peoples' United Revolutionary Movement (HBDH)_Middle East & North Africa,Middle East & North Africa,1,1
People's War Group (PWG)_South Asia,South Asia,56,57
Pirates_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Pokot extremists_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Popular Army for the Restoration of Democracy (APRD)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Popular Army Vanguards- Battalions of Return_Middle East & North Africa,Middle East & North Africa,2,2
Popular Front for Justice in the Congo_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Popular Front for Recovery (FPR)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Popular Front for the Liberation of Palestine (PFLP)_Middle East & North Africa,Middle East & North Africa,54,60
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)_Middle East & North Africa",Middle East & North Africa,3,3
Popular Front for the Renaissance of the Central African Republic (FPRC)_Sub-Saharan Africa,Sub-Saharan Africa,3,6
Popular Front of India_South Asia,South Asia,1,1
Popular Liberation Army (EPL)_South America,South America,22,22
Popular Mobilization Forces (Iraq)_Middle East & North Africa,Middle East & North Africa,4,4
Popular Resistance (Laiki Antistasi)_Western Europe,Western Europe,1,2
Popular Resistance Brigade_Middle East & North Africa,Middle East & North Africa,1,2
Popular Resistance Committees_Middle East & North Africa,Middle East & North Africa,41,49
Popular Resistance Committees (Yemen)_Middle East & North Africa,Middle East & North Africa,22,25
Popular Resistance Movement (Egypt)_Middle East & North Africa,Middle East & North Africa,12,14
Popular Revolutionary Action_Western Europe,Western Europe,0,1
Popular Revolutionary Army (Mexico)_North America,North America,2,2
Popular Will (Greece)_Western Europe,Western Europe,2,3
Porattom_South Asia,South Asia,1,1
Powers of the Revolutionary Arc_Western Europe,Western Europe,1,1
Pragatishil Tarai Mukti Morcha_South Asia,South Asia,1,1
Praveen Dalam_South Asia,South Asia,1,1
Pro Hartal Activists_South Asia,South Asia,87,92
Pro-Government extremists_Middle East & North Africa,Middle East & North Africa,4,4
Pro-Government extremists_South America,South America,0,1
Progressive Socialist Party (PSP)_Middle East & North Africa,Middle East & North Africa,1,1
Pro-Indonesia extremists_Southeast Asia,Southeast Asia,1,1
Proletarian Assault Group_Western Europe,Western Europe,1,1
Proletarian Nuclei for Communism_Western Europe,Western Europe,2,2
Proletarian Solidarity_Eastern Europe,Eastern Europe,1,1
Proletariat Self-defense Groups_Western Europe,Western Europe,3,3
Pro-LGBT Rights extremists_North America,North America,2,2
Pro-Russia Militia_Eastern Europe,Eastern Europe,16,19
Protectors of Islam Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Protestant extremists_Western Europe,Western Europe,11,15
Provisional National Government of Vietnam_Southeast Asia,Southeast Asia,1,2
Provisional RSPCA_Western Europe,Western Europe,1,1
Punjabi Taliban_South Asia,South Asia,4,4
Puratchi Puligal_South Asia,South Asia,1,1
Purbo Banglar Communist Party_South Asia,South Asia,17,17
Qaddafi loyalists_Middle East & North Africa,Middle East & North Africa,4,6
Qari Kamran Group_South Asia,South Asia,1,1
Quit Kashmir Movement (QKM)_South Asia,South Asia,1,1
Rabha National Security Force_South Asia,South Asia,1,1
Rabid Brothers of Giuliani_Western Europe,Western Europe,1,1
Rafallah al-Sahati Brigade_Middle East & North Africa,Middle East & North Africa,2,2
Rahanwein Resistance Army (RRA)_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Raia Mutomboki Militia_Sub-Saharan Africa,Sub-Saharan Africa,9,10
Rajput extremists_South Asia,South Asia,1,1
Rally of Democratic Forces (RAFD)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
